iter	Passed	Remaining
0	57	57245
1	57	28766
2	57	19236
3	58	14497
4	58	11634
5	58	9723
6	58	8367
7	59	7349
8	59	6556
9	59	5927
10	60	5401
11	60	4971
12	60	4600
13	60	4282
14	61	4006
15	61	3764
16	61	3551
17	61	3362
18	61	3193
19	62	3040
20	62	2902
21	62	2777
22	62	2662
23	62	2557
24	63	2460
25	63	2370
26	63	2289
27	63	2212
28	63	2141
29	64	2074
30	64	2011
31	64	1952
32	64	1897
33	64	1845
34	65	1796
35	65	1749
36	65	1705
37	65	1664
38	65	1625
39	66	1587
40	66	1552
41	66	1518
42	66	1485
43	66	1454
44	67	1425
45	67	1396
46	67	1369
47	67	1343
48	67	1319
49	68	1295
50	68	1272
51	68	1249
52	68	1228
53	68	1207
54	69	1187
55	69	1168
56	69	1150
57	69	1132
58	69	1115
59	70	1098
60	70	1082
61	70	1067
62	70	1051
63	70	1037
64	71	1022
65	71	1008
66	71	995
67	71	982
68	71	969
69	72	957
70	72	945
71	72	933
72	72	922
73	72	911
74	73	901
75	73	890
76	73	880
77	73	870
78	73	861
79	74	851
80	74	841
81	74	832
82	74	823
83	74	815
84	74	806
85	75	798
86	75	790
87	75	783
88	75	775
89	75	768
90	76	760
91	76	753
92	76	747
93	76	740
94	76	733
95	77	726
96	77	719
97	77	713
98	77	707
99	77	701
100	78	695
101	78	689
102	78	683
103	78	678
104	78	672
105	79	667
106	79	661
107	79	656
108	79	651
109	79	646
110	80	641
111	80	636
112	80	631
113	80	627
114	80	622
115	81	617
116	81	612
117	81	608
118	81	604
119	81	600
120	82	595
121	82	590
122	82	586
123	82	582
124	82	578
125	82	575
126	83	571
127	83	567
128	83	564
129	83	560
130	83	556
131	84	553
132	84	549
133	84	546
134	84	542
135	84	539
136	85	536
137	85	532
138	85	529
139	85	526
140	85	523
141	86	519
142	86	516
143	86	513
144	86	510
145	86	507
146	87	504
147	87	502
148	87	499
149	87	496
150	87	493
151	87	490
152	88	488
153	88	485
154	88	482
155	88	480
156	88	477
157	89	475
158	89	472
159	89	470
160	89	467
161	89	464
162	90	462
163	90	459
164	90	457
165	90	455
166	90	452
167	90	450
168	91	448
169	91	446
170	91	444
171	91	442
172	92	439
173	92	437
174	92	435
175	92	433
176	92	431
177	93	429
178	93	427
179	93	425
180	93	423
181	93	421
182	94	419
183	94	417
184	94	415
185	94	413
186	94	412
187	94	410
188	95	408
189	95	406
190	95	404
